Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
GCA_019927315.1_ASM1992731v1_genomic	KL62	K62	Good	?-	100.00%	99.32%	n/a	18 / 19 (94.7%)	KL62_01_galF,100.0%;KL62_02_cpsACP,97.619%;KL62_03_wzi,100.0%;KL62_04_wza,100.0%;KL62_05_wzb,100.0%;KL62_06_wzc,99.584%;KL62_07_wbaP,99.79%;KL62_08,99.476%;KL62_09,99.419%;KL62_10,100.0%;KL62_11_wzy,99.486%;KL62_13,99.167%;KL62_14,99.741%;KL62_15_wzx,100.0%;KL62_16_gnd,100.0%;KL62_17_manC,99.788%;KL62_18_manB,99.562%;KL62_19_ugd,99.486%	KL62_12	0		0 / 19 (0%)		4	KL40_03_wcpO,99.798%;KL40_04,100.0%;KL40_05_rfaG,100.0%;KL150_19_gmd,100.0%
GCA_019927325.1_ASM1992732v1_genomic	KL2	K2	Very high		100.00%	99.74%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.443%;KL2_08,99.733%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.588%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
GCA_019927345.1_ASM1992734v1_genomic	KL2	K2	None	?-	86.00%	99.73%	n/a	15 / 18 (83.3%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%	KL2_03_wzi;KL2_04_wza;KL2_05_wzb	0		0 / 18 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,100.0%
GCA_019927385.1_ASM1992738v1_genomic	KL15	K15	Good	?	99.72%	99.79%	n/a	16 / 16 (100%)	KL15_01_galF,100.0%;KL15_02_cpsACP,100.0%;KL15_03_wzi,100.0%;KL15_04_wza,99.735%;KL15_05_wzb,100.0%;KL15_06_wzc,100.0%;KL15_07_wcaJ,100.0%;KL15_08_wceN,99.715%;KL15_09_wceM,99.634%;KL15_10_wcsR,99.379%;KL15_11_wcaN,99.666%;KL15_12_wzy,99.515%;KL15_13_wckI,99.726%;KL15_14_wzx,100.0%;KL15_15_gnd,100.0%;KL15_16_ugd,100.0%		0		0 / 16 (0%)		1	KL150_19_gmd,89.489%
GCA_019927405.1_ASM1992740v1_genomic	KL54	K54	Very high		100.00%	99.93%	-1 bp	20 / 20 (100%)	KL54_01_galF,100.0%;KL54_02_cpsACP,100.0%;KL54_03_wzi,99.792%;KL54_04_wza,100.0%;KL54_05_wzb,100.0%;KL54_06_wzc,100.0%;KL54_07_wclU,100.0%;KL54_08_wzx,100.0%;KL54_09_wzy,99.723%;KL54_10_wckB,100.0%;KL54_11_wcoS,100.0%;KL54_12_gmd,100.0%;KL54_13_wcaG,100.0%;KL54_14_wcaH,100.0%;KL54_15_wcaI,100.0%;KL54_16_wcaJ,100.0%;KL54_17_gnd,100.0%;KL54_18_manC,99.576%;KL54_19_manB,99.781%;KL54_20_ugd,100.0%		0		0 / 20 (0%)		4	KL40_03_wcpO,99.798%;KL40_04,98.759%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.209%
GCA_019927425.1_ASM1992742v1_genomic	KL183	unknown (KL183)	Good	?*	100.00%	93.34%	n/a	19 / 19 (100%)	KL183_01_galF,98.997%;KL183_02_cpsACP,94.286%;KL183_03_wzi,97.28%;KL183_04_wza,99.206%;KL183_05_wzb,100.0%;KL183_06_wzc,99.584%;KL183_07_wbaP,99.158%;KL183_08,98.355%;KL183_09_wcqC,97.665%;KL183_10,98.227%;KL183_11_wzx,96.242%;KL183_12,96.774%;KL183_13,98.542%;KL183_14_gnd,99.787%;KL183_15_rmlB,98.31%;KL183_16_rmlA,97.77%;KL183_17_rmlD,98.929%;KL183_18_rmlC,97.838%;KL183_19_ugd,99.743%		0		0 / 19 (0%)		3	KL126_15_rmlB,99.718%;KL150_19_gmd,99.403%;KL14_24_rmlC,99.459%
GCA_019927435.1_ASM1992743v1_genomic	KL46	K46	Good	?-+	100.00%	99.98%	n/a	19 / 20 (95%)	KL46_01_galF,100.0%;KL46_02_cpsACP,100.0%;KL46_03_wzi,100.0%;KL46_04_wza,100.0%;KL46_05_wzb,100.0%;KL46_06_wzc,100.0%;KL46_07_wcaJ,100.0%;KL46_08_wcuD,99.744%;KL46_09_wzy,100.0%;KL46_10_wcuC,100.0%;KL46_11_wcuI,100.0%;KL46_12_wcuF,100.0%;KL46_13_wcuV,100.0%;KL46_14_wclT,100.0%;KL46_15_wzx,100.0%;KL46_16_wckQ,100.0%;KL46_17_gnd,100.0%;KL46_19_manB,100.0%;KL46_20_ugd,100.0%	KL46_18_manC	1	KL150_20_manC,99.392%	0 / 20 (0%)		2	KL50_10,99.245%;KL150_19_gmd,99.403%
GCA_019927465.1_ASM1992746v1_genomic	KL122	unknown (KL122)	Very high		100.00%	99.94%	0 bp	19 / 19 (100%)	KL122_01_galF,100.0%;KL122_02_cpsACP,99.048%;KL122_03_wzi,99.791%;KL122_04_wza,100.0%;KL122_05_wzb,100.0%;KL122_06_wzc,99.725%;KL122_07_wzy,99.51%;KL122_08_wcuC,100.0%;KL122_09_wckM,99.744%;KL122_10_wcuQ,100.0%;KL122_11_wcuD,100.0%;KL122_12,100.0%;KL122_13_wzx,99.764%;KL122_14_wbaZ,100.0%;KL122_15_wcaJ,100.0%;KL122_16_gnd,100.0%;KL122_17_manC,100.0%;KL122_18_manB,99.781%;KL122_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.007%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.498%
GCA_019927485.1_ASM1992748v1_genomic	KL65	K65	None	?-+*	81.10%	78.07%	n/a	12 / 21 (57.1%)	KL65_01_galF,91.639%;KL65_04_wza,86.737%;KL65_05_wzb,88.356%;KL65_06_wzc,92.011%;KL65_07_wzy,83.61%;KL65_11_wbaZ,84.156%;KL65_12_wcaJ,88.627%;KL65_13_wzx,86.041%;KL65_14_wcuN,83.727%;KL65_19_gnd,97.297%;KL65_20_manC,90.89%;KL65_21_manB,90.265%	KL65_02_cpsACP;KL65_03_wzi;KL65_08_wcuC;KL65_09_wcuE;KL65_10_wcuO;KL65_15_wcuS;KL65_16_rmlA;KL65_17_rmlC;KL65_18_rmlD	11	KL33_05,97.704%;KL14_19_manC,100.0%;KL30_19_manB,98.718%;KL122_19_ugd,99.486%;KL128_19_rmlB,95.493%;KL181_20_rmlA,97.931%;KL52_20_rmlD,89.216%;KL33_04,97.581%;KL33_03,97.26%;KL33_02_cpsACP,100.0%;KL32_19_rmlC,94.595%	0 / 21 (0%)		2	KL50_10,99.057%;KL150_19_gmd,93.393%
GCA_019927505.1_ASM1992750v1_genomic	KL14	K14	Good	?	100.00%	99.88%	n/a	25 / 25 (100%)	KL14_01_galF,100.0%;KL14_02_cpsACP,100.0%;KL14_03_wzi,100.0%;KL14_04_wza,100.0%;KL14_05_wzb,100.0%;KL14_06_wzc,100.0%;KL14_07,100.0%;KL14_08_wzx,100.0%;KL14_09,100.0%;KL14_10,100.0%;KL14_11,100.0%;KL14_12,100.0%;KL14_13,100.0%;KL14_14,100.0%;KL14_15,100.0%;KL14_16,100.0%;KL14_17_wcaJ,100.0%;KL14_18_gnd,100.0%;KL14_19_manC,100.0%;KL14_20_manB,99.767%;KL14_21_rmlB,100.0%;KL14_22_rmlA,100.0%;KL14_23_rmlD,100.0%;KL14_24_rmlC,100.0%;KL14_25_ugd,99.743%		0		0 / 25 (0%)		2	KL50_10,99.811%;KL150_19_gmd,99.701%
GCA_019927525.1_ASM1992752v1_genomic	KL15	K15	Very high		100.00%	99.98%	+1085 bp	16 / 16 (100%)	KL15_01_galF,100.0%;KL15_02_cpsACP,100.0%;KL15_03_wzi,100.0%;KL15_04_wza,100.0%;KL15_05_wzb,100.0%;KL15_06_wzc,100.0%;KL15_07_wcaJ,100.0%;KL15_08_wceN,100.0%;KL15_09_wceM,100.0%;KL15_10_wcsR,100.0%;KL15_11_wcaN,100.0%;KL15_12_wzy,100.0%;KL15_13_wckI,99.726%;KL15_14_wzx,100.0%;KL15_15_gnd,100.0%;KL15_16_ugd,100.0%		0		0 / 16 (0%)		3	KL104_16_wzx,98.072%;KL150_19_gmd,89.489%;KL104_17,98.635%
GCA_019927535.1_ASM1992753v1_genomic	KL46	K46	Good	?*	100.00%	98.76%	n/a	20 / 20 (100%)	KL46_01_galF,99.666%;KL46_02_cpsACP,93.333%;KL46_03_wzi,97.917%;KL46_04_wza,100.0%;KL46_05_wzb,100.0%;KL46_06_wzc,99.861%;KL46_07_wcaJ,100.0%;KL46_08_wcuD,99.744%;KL46_09_wzy,100.0%;KL46_10_wcuC,99.754%;KL46_11_wcuI,100.0%;KL46_12_wcuF,99.728%;KL46_13_wcuV,99.701%;KL46_14_wclT,100.0%;KL46_15_wzx,99.798%;KL46_16_wckQ,99.64%;KL46_17_gnd,99.787%;KL46_18_manC,99.352%;KL46_19_manB,99.764%;KL46_20_ugd,99.743%		0		0 / 20 (0%)		2	KL50_10,99.811%;KL150_19_gmd,99.104%
GCA_019927565.1_ASM1992756v1_genomic	KL30	K30	Very high	*	100.00%	96.44%	-1 bp	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,99.524%;KL30_03_wzi,99.406%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.033%;KL30_07_wcuL,100.0%;KL30_08_wzx,100.0%;KL30_09_wcuD,97.143%;KL30_10_wzy,93.151%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,92.188%;KL30_14,94.17%;KL30_15_wcuG,91.549%;KL30_16_wcaJ,98.069%;KL30_17_gnd,99.36%;KL30_18_manC,99.153%;KL30_19_manB,99.787%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,98.806%
GCA_019927585.1_ASM1992758v1_genomic	KL62	K62	Good	?-	100.00%	99.32%	n/a	18 / 19 (94.7%)	KL62_01_galF,100.0%;KL62_02_cpsACP,97.143%;KL62_03_wzi,100.0%;KL62_04_wza,100.0%;KL62_05_wzb,100.0%;KL62_06_wzc,99.723%;KL62_07_wbaP,99.79%;KL62_08,99.476%;KL62_09,99.419%;KL62_10,100.0%;KL62_11_wzy,99.486%;KL62_13,98.889%;KL62_14,99.741%;KL62_15_wzx,100.0%;KL62_16_gnd,100.0%;KL62_17_manC,99.788%;KL62_18_manB,99.562%;KL62_19_ugd,99.486%	KL62_12	0		0 / 19 (0%)		4	KL40_03_wcpO,99.798%;KL40_04,99.752%;KL40_05_rfaG,100.0%;KL150_19_gmd,100.0%
GCA_019927605.1_ASM1992760v1_genomic	KL39	K39	Good	?	100.00%	99.20%	n/a	20 / 20 (100%)	KL39_01_galF,100.0%;KL39_02_cpsACP,96.667%;KL39_03_wzi,99.163%;KL39_04_wza,100.0%;KL39_05_wzb,100.0%;KL39_06_wzc,99.722%;KL39_07,99.727%;KL39_08_wzy,100.0%;KL39_09_mshA,99.701%;KL39_10_epsH,100.0%;KL39_11_epsJ,99.701%;KL39_12_wzx,100.0%;KL39_13,100.0%;KL39_14,99.387%;KL39_15_wbaZ,99.74%;KL39_16_wcaJ,100.0%;KL39_17_gnd,99.787%;KL39_18_manC,99.777%;KL39_19_manB,100.0%;KL39_20_ugd,100.0%		0		0 / 20 (0%)		2	KL50_10,99.811%;KL150_19_gmd,99.701%
GCA_019927625.1_ASM1992762v1_genomic	KL112	unknown (KL112)	Very high		100.00%	98.65%	0 bp	18 / 18 (100%)	KL112_01_galF,100.0%;KL112_02_cpsACP,99.524%;KL112_03_wzi,97.071%;KL112_04_wza,100.0%;KL112_05_wzb,99.31%;KL112_06_wzc,99.722%;KL112_07_wbaP,100.0%;KL112_08,99.516%;KL112_09_wzy,99.256%;KL112_10_wcaO,100.0%;KL112_11_wcaN,100.0%;KL112_12_wbaZ,98.961%;KL112_13_wcuV,99.699%;KL112_14_wzx,99.583%;KL112_15_gnd,100.0%;KL112_16_manC,99.576%;KL112_17_manB,99.781%;KL112_18_ugd,99.486%		0		0 / 18 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,99.701%
GCA_019927645.1_ASM1992764v1_genomic	KL51	K51	Good	?-	100.00%	99.40%	n/a	15 / 16 (93.8%)	KL51_01_galF,99.331%;KL51_02_cpsACP,100.0%;KL51_03_wzi,99.791%;KL51_04_wza,100.0%;KL51_05_wzb,100.0%;KL51_06_wzc,99.723%;KL51_07_wcaJ,99.788%;KL51_08_wcpB,100.0%;KL51_09_wzy,98.898%;KL51_10_wcuF,99.18%;KL51_11_wcpA,99.726%;KL51_12_wzx,100.0%;KL51_13,99.878%;KL51_15_gnd,99.574%;KL51_16_ugd,99.229%	KL51_14_wcoZ	0		0 / 16 (0%)		4	KL40_03_wcpO,98.988%;KL40_04,99.749%;KL40_05_rfaG,99.475%;KL150_19_gmd,98.806%
GCA_019927655.1_ASM1992765v1_genomic	KL14	K14	Good	?-+	100.00%	99.73%	n/a	23 / 25 (92%)	KL14_01_galF,99.666%;KL14_02_cpsACP,100.0%;KL14_03_wzi,100.0%;KL14_04_wza,100.0%;KL14_05_wzb,100.0%;KL14_06_wzc,99.862%;KL14_07,99.713%;KL14_08_wzx,100.0%;KL14_09,99.662%;KL14_10,99.695%;KL14_11,100.0%;KL14_12,100.0%;KL14_13,99.415%;KL14_14,99.634%;KL14_15,100.0%;KL14_16,99.708%;KL14_17_wcaJ,100.0%;KL14_18_gnd,100.0%;KL14_21_rmlB,100.0%;KL14_22_rmlA,100.0%;KL14_23_rmlD,100.0%;KL14_24_rmlC,100.0%;KL14_25_ugd,99.486%	KL14_19_manC;KL14_20_manB	1	KL137_19,99.474%	0 / 25 (0%)		2	KL50_10,99.245%;KL150_19_gmd,99.701%
GCA_019927685.1_ASM1992768v1_genomic	KL102	unknown (KL102)	Very high		100.00%	99.27%	-1 bp	17 / 17 (100%)	KL102_01_galF,98.997%;KL102_02_cpsACP,99.048%;KL102_03_wzi,100.0%;KL102_04_wza,100.0%;KL102_05_wzb,100.0%;KL102_06_wzc,99.722%;KL102_07_wbaP,99.366%;KL102_08_wzy,99.538%;KL102_09,99.313%;KL102_10,99.643%;KL102_11,99.432%;KL102_12,99.722%;KL102_13,100.0%;KL102_14,100.0%;KL102_15_wzx,100.0%;KL102_16_gnd,100.0%;KL102_17_ugd,99.486%		0		0 / 17 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.256%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.507%
GCA_019927705.1_ASM1992770v1_genomic	KL2	K2	Very high		100.00%	98.41%	+1 bp	18 / 18 (100%)	KL2_01_galF,99.331%;KL2_02_cpsACP,99.048%;KL2_03_wzi,98.614%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.862%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.177%;KL2_12,99.483%;KL2_13,99.103%;KL2_14_wcaJ,99.785%;KL2_15_gnd,98.934%;KL2_16_manC,99.364%;KL2_17_manB,99.781%;KL2_18_ugd,100.0%		0		0 / 18 (0%)		4	KL40_03_wcpO,98.381%;KL40_04,99.256%;KL40_05_rfaG,99.738%;KL150_19_gmd,99.104%
GCA_019927725.1_ASM1992772v1_genomic	KL61	K61	Good	?*	100.00%	96.49%	n/a	19 / 19 (100%)	KL61_01_galF,98.997%;KL61_02_cpsACP,94.286%;KL61_03_wzi,98.536%;KL61_04_wza,100.0%;KL61_05_wzb,98.63%;KL61_06_wzc,99.307%;KL61_07_wclQ,97.098%;KL61_08_wcuQ,97.964%;KL61_09_wzy,98.0%;KL61_10_wclP,96.419%;KL61_11_wzx,96.04%;KL61_12_wcqZ,97.849%;KL61_13_wcuK,98.204%;KL61_14_wbaZ,98.182%;KL61_15_wcaJ,98.707%;KL61_16_gnd,99.787%;KL61_17_manC,99.568%;KL61_18_manB,99.761%;KL61_19_ugd,100.0%		0		0 / 19 (0%)		1	KL150_19_gmd,99.104%
GCA_019927745.1_ASM1992774v1_genomic	KL13	K13	Good	?	100.00%	98.63%	n/a	19 / 19 (100%)	KL13_01_galF,99.003%;KL13_02_cpsACP,98.37%;KL13_03_wzi,99.208%;KL13_04_wza,100.0%;KL13_05_wzb,100.0%;KL13_06_wzc,99.585%;KL13_07_wcuD,99.738%;KL13_08_wclX,99.742%;KL13_09_wzy,100.0%;KL13_10_wcuF,100.0%;KL13_11_wzx,99.587%;KL13_12_wcuL,99.685%;KL13_13_wcoW,99.085%;KL13_14,98.432%;KL13_15_wcaJ,100.0%;KL13_16_gnd,100.0%;KL13_17_manC,99.57%;KL13_18_manB,99.336%;KL13_19_ugd,100.0%		0		0 / 19 (0%)		2	KL50_10,99.434%;KL150_19_gmd,99.104%
GCA_019927765.1_ASM1992776v1_genomic	KL28	K28	Very high		100.00%	99.46%	+1 bp	19 / 19 (100%)	KL28_01_galF,100.0%;KL28_02_cpsACP,100.0%;KL28_03_wzi,97.699%;KL28_04_wza,99.737%;KL28_05_wzb,100.0%;KL28_06_wzc,100.0%;KL28_07_wckC,100.0%;KL28_08_wcuC,100.0%;KL28_09_wckD,100.0%;KL28_10_wzy,100.0%;KL28_11_wclS,100.0%;KL28_12_wcuE,99.697%;KL28_13_wzx,100.0%;KL28_14_wbaZ,100.0%;KL28_15_wcaJ,100.0%;KL28_16_gnd,100.0%;KL28_17_manC,100.0%;KL28_18_manB,100.0%;KL28_19_ugd,99.743%		0		0 / 19 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,98.806%
GCA_019927785.1_ASM1992778v1_genomic	KL20	K20	Very high		100.00%	99.95%	0 bp	18 / 18 (100%)	KL20_01_galF,100.0%;KL20_02_cpsACP,100.0%;KL20_03_wzi,100.0%;KL20_04_wza,100.0%;KL20_05_wzb,100.0%;KL20_06_wzc,100.0%;KL20_07_wbaP,100.0%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,100.0%;KL20_11_wcaO,100.0%;KL20_12,100.0%;KL20_13_wbaZ,100.0%;KL20_14_wzx,99.762%;KL20_15_gnd,100.0%;KL20_16_manC,100.0%;KL20_17_manB,100.0%;KL20_18_ugd,100.0%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,98.806%
GCA_019927805.1_ASM1992780v1_genomic	KL35	K35	Good	?-	99.86%	99.17%	n/a	19 / 20 (95%)	KL35_01_galF,100.0%;KL35_02_cpsACP,99.048%;KL35_03_wzi,100.0%;KL35_04_wza,100.0%;KL35_06_wzc,99.583%;KL35_07_wzy,98.02%;KL35_08_wcuC,99.762%;KL35_09_wckM,99.742%;KL35_10_wckL,99.465%;KL35_11_wcuQ,100.0%;KL35_12_wzx,99.804%;KL35_13_wckK,99.694%;KL35_14_wbaZ,99.221%;KL35_15_wcaJ,100.0%;KL35_16_wclK,96.034%;KL35_17_gnd,99.574%;KL35_18_manC,99.332%;KL35_19_manB,100.0%;KL35_20_ugd,99.486%	KL35_05_wzb	0		0 / 20 (0%)		1	KL150_19_gmd,99.701%
GCA_019927825.1_ASM1992782v1_genomic	KL62	K62	Very high		100.00%	99.94%	0 bp	19 / 19 (100%)	KL62_01_galF,100.0%;KL62_02_cpsACP,99.524%;KL62_03_wzi,100.0%;KL62_04_wza,100.0%;KL62_05_wzb,100.0%;KL62_06_wzc,99.861%;KL62_07_wbaP,99.79%;KL62_08,100.0%;KL62_09,100.0%;KL62_10,100.0%;KL62_11_wzy,100.0%;KL62_12,100.0%;KL62_13,100.0%;KL62_14,100.0%;KL62_15_wzx,100.0%;KL62_16_gnd,100.0%;KL62_17_manC,100.0%;KL62_18_manB,99.781%;KL62_19_ugd,100.0%		0		0 / 19 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,98.806%
GCA_019927845.1_ASM1992784v1_genomic	KL116	unknown (KL116)	High	-	100.00%	99.97%	-1 bp	20 / 21 (95.2%)	KL116_01_galF,100.0%;KL116_02_cpsACP,100.0%;KL116_03_wzi,100.0%;KL116_04_wza,100.0%;KL116_05_wzb,100.0%;KL116_06_wzc,100.0%;KL116_07_wcuE,100.0%;KL116_08_wckV,100.0%;KL116_09,100.0%;KL116_10_wctD,100.0%;KL116_11_wbaZ,100.0%;KL116_12_wbaP,100.0%;KL116_13_wcuC,100.0%;KL116_14_wzy,99.698%;KL116_15_wclT,100.0%;KL116_16_wzx,100.0%;KL116_18_gnd,100.0%;KL116_19_manC,100.0%;KL116_20_manB,100.0%;KL116_21_ugd,99.743%	KL116_17_wcpG	0		0 / 21 (0%)		2	KL40_05_rfaG,97.368%;KL150_19_gmd,99.104%
GCA_019927855.1_ASM1992785v1_genomic	KL2	K2	Very high		100.00%	98.39%	+1 bp	18 / 18 (100%)	KL2_01_galF,98.997%;KL2_02_cpsACP,98.571%;KL2_03_wzi,98.614%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.862%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.177%;KL2_12,99.483%;KL2_13,99.103%;KL2_14_wcaJ,99.571%;KL2_15_gnd,98.934%;KL2_16_manC,99.364%;KL2_17_manB,99.562%;KL2_18_ugd,100.0%		0		0 / 18 (0%)		4	KL40_03_wcpO,97.976%;KL40_04,99.752%;KL40_05_rfaG,99.475%;KL150_19_gmd,98.209%
GCA_019927885.1_ASM1992788v1_genomic	KL46	K46	Good	?*	100.00%	98.82%	n/a	20 / 20 (100%)	KL46_01_galF,100.0%;KL46_02_cpsACP,93.333%;KL46_03_wzi,97.708%;KL46_04_wza,100.0%;KL46_05_wzb,100.0%;KL46_06_wzc,99.861%;KL46_07_wcaJ,100.0%;KL46_08_wcuD,99.744%;KL46_09_wzy,100.0%;KL46_10_wcuC,99.754%;KL46_11_wcuI,100.0%;KL46_12_wcuF,99.728%;KL46_13_wcuV,99.701%;KL46_14_wclT,100.0%;KL46_15_wzx,99.798%;KL46_16_wckQ,99.281%;KL46_17_gnd,99.787%;KL46_18_manC,99.352%;KL46_19_manB,99.764%;KL46_20_ugd,99.743%		0		0 / 20 (0%)		2	KL50_10,99.434%;KL150_19_gmd,98.806%
GCA_019927905.1_ASM1992790v1_genomic	KL36	K36	Very high		100.00%	99.99%	0 bp	21 / 21 (100%)	KL36_01_galF,100.0%;KL36_02_cpsACP,100.0%;KL36_03_wzi,100.0%;KL36_04_wza,100.0%;KL36_05_wzb,100.0%;KL36_06_wzc,100.0%;KL36_07_wcaJ,100.0%;KL36_08_wcaA,100.0%;KL36_09_rmlB,100.0%;KL36_10_rmlA,100.0%;KL36_11_rmlC,99.462%;KL36_12_wzy,100.0%;KL36_13_wckE,100.0%;KL36_14_wcuM,100.0%;KL36_15,100.0%;KL36_16_wckT,100.0%;KL36_17_wzx,100.0%;KL36_18_wcuJ,100.0%;KL36_19_rmlD,100.0%;KL36_20_gnd,100.0%;KL36_21_ugd,100.0%		0		0 / 21 (0%)		1	KL150_19_gmd,88.955%
GCA_019927925.1_ASM1992792v1_genomic	KL9	K9	Very high		100.00%	99.98%	0 bp	19 / 19 (100%)	KL9_01_galF,100.0%;KL9_02_cpsACP,100.0%;KL9_03_wzi,100.0%;KL9_04_wza,100.0%;KL9_05_wzb,100.0%;KL9_06_wzc,100.0%;KL9_07_wbaP,100.0%;KL9_08,100.0%;KL9_09,100.0%;KL9_10,100.0%;KL9_11,100.0%;KL9_12,99.77%;KL9_13_wzx,99.762%;KL9_14_gnd,100.0%;KL9_15_rmlB,100.0%;KL9_16_rmlA,100.0%;KL9_17_rmlD,100.0%;KL9_18_rmlC,100.0%;KL9_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.007%;KL40_05_rfaG,99.738%;KL150_19_gmd,99.104%
GCA_019927945.1_ASM1992794v1_genomic	KL27	K27	Very high		100.00%	99.28%	-1 bp	18 / 18 (100%)	KL27_01_galF,99.666%;KL27_02_cpsACP,100.0%;KL27_03_wzi,99.583%;KL27_04_wza,100.0%;KL27_05_wzb,100.0%;KL27_06_wzc,100.0%;KL27_07_wcaJ,100.0%;KL27_08_wckI,100.0%;KL27_09_wckS,99.602%;KL27_10_wckR,99.712%;KL27_11_wzy,99.758%;KL27_12_wzx,100.0%;KL27_13_wckQ,99.625%;KL27_14_wcuJ,99.702%;KL27_15_wctE,99.667%;KL27_16_wctF,99.392%;KL27_17_gnd,100.0%;KL27_18_ugd,99.486%		0		0 / 18 (0%)		1	KL150_19_gmd,88.955%
GCA_019927965.1_ASM1992796v1_genomic	KL61	K61	Very high		100.00%	96.53%	-3 bp	19 / 19 (100%)	KL61_01_galF,99.331%;KL61_02_cpsACP,95.238%;KL61_03_wzi,98.326%;KL61_04_wza,100.0%;KL61_05_wzb,98.63%;KL61_06_wzc,99.168%;KL61_07_wclQ,97.098%;KL61_08_wcuQ,97.964%;KL61_09_wzy,98.0%;KL61_10_wclP,96.419%;KL61_11_wzx,95.842%;KL61_12_wcqZ,97.849%;KL61_13_wcuK,98.204%;KL61_14_wbaZ,97.922%;KL61_15_wcaJ,98.707%;KL61_16_gnd,99.787%;KL61_17_manC,99.788%;KL61_18_manB,99.562%;KL61_19_ugd,100.0%		0		0 / 19 (0%)		2	KL40_05_rfaG,98.421%;KL150_19_gmd,99.701%
GCA_019927985.1_ASM1992798v1_genomic	KL30	K30	Very high	*	100.00%	96.45%	-1 bp	20 / 20 (100%)	KL30_01_galF,100.0%;KL30_02_cpsACP,99.524%;KL30_03_wzi,99.208%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.448%;KL30_07_wcuL,100.0%;KL30_08_wzx,100.0%;KL30_09_wcuD,97.143%;KL30_10_wzy,92.627%;KL30_11_wckP,92.287%;KL30_12_wckO,93.59%;KL30_13_wckN,92.188%;KL30_14,94.17%;KL30_15_wcuG,91.831%;KL30_16_wcaJ,98.069%;KL30_17_gnd,99.36%;KL30_18_manC,99.153%;KL30_19_manB,99.787%;KL30_20_ugd,100.0%		0		0 / 20 (0%)		4	KL40_03_wcpO,97.773%;KL40_04,99.504%;KL40_05_rfaG,99.738%;KL150_19_gmd,99.403%
